max_depth,subsample,colsample_bytree,learning_rate,gamma,scale_pos_weight,Metric,Best Metric
10,0.8,0.8,0.05,0.2,40,0.99047619,0.99047619
10,0.8,0.8,0.05,0.15,40,0.99047619,0.99047619
10,0.8,0.8,0.05,0.15,30,0.99047619,0.99047619
5,0.7,0.8,0.01,0.15,30,0.99047619,0.99047619
15,0.7,0.7,0.05,0.15,30,0.99047619,0.99047619
15,0.6,0.7,0.05,0.15,30,0.99047619,0.99047619
15,0.6,0.7,0.05,0.1,30,0.99047619,0.99047619
20,0.6,0.7,0.05,0.1,30,0.99047619,0.99047619
20,0.5,0.7,0.1,0.1,30,0.99047619,0.99047619
20,0.5,0.7,0.2,0.1,30,0.99047619,0.99047619
20,0.5,0.7,0.3,0.1,30,0.99047619,0.99047619
20,0.5,0.7,0.4,0.1,30,0.99047619,0.99047619
20,0.5,0.7,0.4,0.1,40,0.99047619,0.99047619
20,0.5,0.7,0.3,0.1,40,0.99047619,0.99047619
20,0.5,0.7,0.3,0.1,50,0.99047619,0.99047619
20,0.5,0.7,0.4,0.1,50,0.99047619,0.99047619
20,0.6,0.7,0.4,0.1,50,0.99047619,0.99047619
20,0.6,0.7,0.3,0.1,50,0.99047619,0.99047619
20,0.6,0.7,0.3,0.1,40,0.99047619,0.99047619
20,0.6,0.7,0.3,0.1,30,0.99047619,0.99047619
20,0.6,0.8,0.4,0.15,30,0.99047619,0.99047619
15,0.6,0.8,0.4,0.15,30,0.99047619,0.99047619
15,0.5,0.9,0.3,0.2,40,0.99047619,0.99047619
10,0.6,0.8,0.4,0.15,30,0.99047619,0.99047619
10,0.6,0.8,0.4,0.2,30,0.99047619,0.99047619
10,0.6,0.8,0.4,0.2,40,0.99047619,0.99047619
10,0.6,0.8,0.3,0.2,40,0.99047619,0.99047619
10,0.5,0.9,0.3,0.2,40,0.99047619,0.99047619
5,0.6,0.9,0.2,0.2,30,0.99047619,0.99047619
5,0.7,0.9,0.1,0.15,30,0.99047619,0.99047619
5,0.7,0.9,0.05,0.15,30,0.99047619,0.99047619
5,0.7,0.9,0.05,0.1,30,0.99047619,0.99047619
5,0.7,0.9,0.1,0.1,30,0.99047619,0.99047619
